id,title,artist,language,mood
502,Kesariya,Sonu Nigam,Hindi,Calm
503,Perfect,Katy Perry,English,Calm
504,Someone Like You,Katy Perry,English,Happy
505,Kesariya,Badshah,Hindi,Romantic
506,Kesariya,Shreya Ghoshal,Hindi,Energetic
507,Kesariya,Arijit Singh,Hindi,Calm
508,Shayad,Sonu Nigam,Hindi,Romantic
509,Roar,Katy Perry,English,Calm
510,Apna Time Aayega,Arijit Singh,Hindi,Calm
511,Someone Like You,Taylor Swift,English,Happy
512,Seeti Maar,Sid Sriram,Telugu,Calm
513,Channa Mereya,Arijit Singh,Hindi,Happy
514,Perfect,Taylor Swift,English,Happy
515,Channa Mereya,Arijit Singh,Hindi,Energetic
516,Channa Mereya,Neha Kakkar,Hindi,Energetic
517,Seeti Maar,Armaan Malik,Telugu,Romantic
518,Samajavaragamana,Shreya Ghoshal,Telugu,Sad
519,Perfect,Ed Sheeran,English,Energetic
520,Vachindamma,Shreya Ghoshal,Telugu,Calm
521,Samajavaragamana,Shreya Ghoshal,Telugu,Happy
522,Shayad,Sonu Nigam,Hindi,Energetic
523,Apna Time Aayega,Arijit Singh,Hindi,Happy
524,Kesariya,Arijit Singh,Hindi,Romantic
525,Butta Bomma,DSP,Telugu,Sad
526,Shayad,Sonu Nigam,Hindi,Calm
527,Seeti Maar,Armaan Malik,Telugu,Calm
528,Apna Time Aayega,Arijit Singh,Hindi,Calm
529,Kesariya,Arijit Singh,Hindi,Energetic
530,Samajavaragamana,Sid Sriram,Telugu,Energetic
531,Someone Like You,Taylor Swift,English,Romantic
532,Blinding Lights,Taylor Swift,English,Happy
533,Vachindamma,DSP,Telugu,Energetic
534,Vachindamma,Armaan Malik,Telugu,Energetic
535,Apna Time Aayega,Badshah,Hindi,Happy
536,Seeti Maar,Anurag Kulkarni,Telugu,Romantic
537,Seeti Maar,Shreya Ghoshal,Telugu,Calm
538,Blinding Lights,The Weeknd,English,Happy
539,Perfect,Ed Sheeran,English,Romantic
540,Srivalli,DSP,Telugu,Sad
541,Roar,Adele,English,Calm
542,Tum Hi Ho,Sonu Nigam,Hindi,Energetic
543,Vachindamma,Armaan Malik,Telugu,Sad
544,Blinding Lights,Taylor Swift,English,Calm
545,Perfect,The Weeknd,English,Energetic
546,Blinding Lights,The Weeknd,English,Happy
547,Perfect,Taylor Swift,English,Romantic
548,Vachindamma,DSP,Telugu,Energetic
549,Tum Hi Ho,Arijit Singh,Hindi,Happy
550,Roar,The Weeknd,English,Energetic
551,Shayad,Arijit Singh,Hindi,Romantic
552,Apna Time Aayega,Badshah,Hindi,Calm
553,Samajavaragamana,Shreya Ghoshal,Telugu,Happy
554,Kesariya,Badshah,Hindi,Energetic
555,Srivalli,Armaan Malik,Telugu,Sad
556,Apna Time Aayega,Neha Kakkar,Hindi,Happy
557,Blinding Lights,Katy Perry,English,Happy
558,Shayad,Shreya Ghoshal,Hindi,Romantic
559,Blinding Lights,Taylor Swift,English,Romantic
560,Apna Time Aayega,Badshah,Hindi,Romantic
561,Vachindamma,Anurag Kulkarni,Telugu,Sad
562,Roar,Adele,English,Sad
563,Srivalli,Sid Sriram,Telugu,Calm
564,Blinding Lights,Ed Sheeran,English,Happy
565,Shape of You,The Weeknd,English,Romantic
566,Butta Bomma,Armaan Malik,Telugu,Sad
567,Someone Like You,Katy Perry,English,Happy
568,Shayad,Shreya Ghoshal,Hindi,Romantic
569,Vachindamma,DSP,Telugu,Energetic
570,Someone Like You,The Weeknd,English,Happy
571,Tum Hi Ho,Arijit Singh,Hindi,Happy
572,Samajavaragamana,DSP,Telugu,Energetic
573,Blinding Lights,Adele,English,Happy
574,Shape of You,Adele,English,Sad
575,Samajavaragamana,Sid Sriram,Telugu,Energetic
576,Blinding Lights,Adele,English,Energetic
577,Perfect,The Weeknd,English,Calm
578,Seeti Maar,Shreya Ghoshal,Telugu,Romantic
579,Seeti Maar,Anurag Kulkarni,Telugu,Sad
580,Vachindamma,Anurag Kulkarni,Telugu,Romantic
581,Perfect,The Weeknd,English,Happy
582,Apna Time Aayega,Neha Kakkar,Hindi,Romantic
583,Blinding Lights,Adele,English,Sad
584,Butta Bomma,Anurag Kulkarni,Telugu,Calm
585,Kesariya,Arijit Singh,Hindi,Happy
586,Shayad,Shreya Ghoshal,Hindi,Romantic
587,Tum Hi Ho,Arijit Singh,Hindi,Happy
588,Vachindamma,Armaan Malik,Telugu,Happy
589,Someone Like You,The Weeknd,English,Energetic
590,Butta Bomma,DSP,Telugu,Happy
591,Kesariya,Arijit Singh,Hindi,Energetic
592,Channa Mereya,Arijit Singh,Hindi,Romantic
593,Shayad,Neha Kakkar,Hindi,Happy
594,Seeti Maar,Shreya Ghoshal,Telugu,Calm
595,Srivalli,Shreya Ghoshal,Telugu,Calm
596,Shayad,Arijit Singh,Hindi,Energetic
597,Kesariya,Arijit Singh,Hindi,Romantic
598,Vachindamma,Armaan Malik,Telugu,Calm
599,Someone Like You,Adele,English,Happy
600,Someone Like You,Adele,English,Romantic
601,Srivalli,Anurag Kulkarni,Telugu,Happy
602,Samajavaragamana,Shreya Ghoshal,Telugu,Sad
603,Shape of You,The Weeknd,English,Happy
604,Samajavaragamana,Armaan Malik,Telugu,Sad
605,Shayad,Sonu Nigam,Hindi,Happy
606,Perfect,Ed Sheeran,English,Sad
607,Apna Time Aayega,Shreya Ghoshal,Hindi,Calm
608,Perfect,The Weeknd,English,Calm
609,Shape of You,Taylor Swift,English,Sad
610,Shayad,Shreya Ghoshal,Hindi,Happy
611,Samajavaragamana,Shreya Ghoshal,Telugu,Energetic
612,Channa Mereya,Badshah,Hindi,Sad
613,Blinding Lights,Katy Perry,English,Calm
614,Roar,The Weeknd,English,Happy
615,Shayad,Shreya Ghoshal,Hindi,Sad
616,Someone Like You,Adele,English,Sad
617,Samajavaragamana,Shreya Ghoshal,Telugu,Romantic
618,Roar,Taylor Swift,English,Romantic
619,Vachindamma,DSP,Telugu,Happy
620,Roar,The Weeknd,English,Sad
621,Tum Hi Ho,Arijit Singh,Hindi,Energetic
622,Srivalli,Anurag Kulkarni,Telugu,Calm
623,Vachindamma,DSP,Telugu,Sad
624,Tum Hi Ho,Sonu Nigam,Hindi,Energetic
625,Shayad,Arijit Singh,Hindi,Romantic
626,Srivalli,Sid Sriram,Telugu,Energetic
627,Blinding Lights,Taylor Swift,English,Happy
628,Perfect,Adele,English,Sad
629,Channa Mereya,Arijit Singh,Hindi,Romantic
630,Kesariya,Shreya Ghoshal,Hindi,Happy
631,Shape of You,Katy Perry,English,Romantic
632,Srivalli,DSP,Telugu,Happy
633,Perfect,The Weeknd,English,Happy
634,Tum Hi Ho,Neha Kakkar,Hindi,Romantic
635,Shape of You,Adele,English,Happy
636,Srivalli,DSP,Telugu,Energetic
637,Srivalli,DSP,Telugu,Sad
638,Blinding Lights,Adele,English,Energetic
639,Tum Hi Ho,Arijit Singh,Hindi,Calm
640,Kesariya,Neha Kakkar,Hindi,Happy
641,Blinding Lights,Taylor Swift,English,Calm
642,Someone Like You,Katy Perry,English,Romantic
643,Vachindamma,Anurag Kulkarni,Telugu,Romantic
644,Shape of You,Taylor Swift,English,Happy
645,Samajavaragamana,Shreya Ghoshal,Telugu,Romantic
646,Samajavaragamana,Shreya Ghoshal,Telugu,Energetic
647,Butta Bomma,DSP,Telugu,Energetic
648,Someone Like You,Ed Sheeran,English,Energetic
649,Srivalli,Armaan Malik,Telugu,Happy
650,Samajavaragamana,DSP,Telugu,Romantic
651,Srivalli,Sid Sriram,Telugu,Calm
652,Roar,Adele,English,Romantic
653,Roar,The Weeknd,English,Sad
654,Shape of You,The Weeknd,English,Sad
655,Blinding Lights,The Weeknd,English,Sad
656,Blinding Lights,Taylor Swift,English,Energetic
657,Blinding Lights,Taylor Swift,English,Calm
658,Vachindamma,Sid Sriram,Telugu,Energetic
659,Shayad,Neha Kakkar,Hindi,Happy
660,Seeti Maar,Armaan Malik,Telugu,Romantic
661,Samajavaragamana,Shreya Ghoshal,Telugu,Happy
662,Vachindamma,Sid Sriram,Telugu,Energetic
663,Seeti Maar,Shreya Ghoshal,Telugu,Sad
664,Roar,Katy Perry,English,Energetic
665,Vachindamma,Anurag Kulkarni,Telugu,Sad
666,Someone Like You,Katy Perry,English,Romantic
667,Perfect,The Weeknd,English,Calm
668,Shape of You,Adele,English,Sad
669,Channa Mereya,Neha Kakkar,Hindi,Sad
670,Kesariya,Arijit Singh,Hindi,Romantic
671,Apna Time Aayega,Badshah,Hindi,Energetic
672,Shape of You,Taylor Swift,English,Energetic
673,Samajavaragamana,Sid Sriram,Telugu,Happy
674,Perfect,Ed Sheeran,English,Sad
675,Perfect,Ed Sheeran,English,Romantic
676,Blinding Lights,Adele,English,Calm
677,Srivalli,Shreya Ghoshal,Telugu,Energetic
678,Perfect,Ed Sheeran,English,Sad
679,Samajavaragamana,Sid Sriram,Telugu,Energetic
680,Tum Hi Ho,Arijit Singh,Hindi,Energetic
681,Shape of You,Taylor Swift,English,Energetic
682,Seeti Maar,Shreya Ghoshal,Telugu,Romantic
683,Samajavaragamana,Armaan Malik,Telugu,Energetic
684,Kesariya,Badshah,Hindi,Sad
685,Seeti Maar,Armaan Malik,Telugu,Happy
686,Shayad,Neha Kakkar,Hindi,Romantic
687,Butta Bomma,Sid Sriram,Telugu,Happy
688,Vachindamma,Sid Sriram,Telugu,Happy
689,Srivalli,DSP,Telugu,Romantic
690,Blinding Lights,Adele,English,Happy
691,Perfect,Adele,English,Calm
692,Shayad,Shreya Ghoshal,Hindi,Calm
693,Vachindamma,Sid Sriram,Telugu,Sad
694,Tum Hi Ho,Arijit Singh,Hindi,Romantic
695,Perfect,Ed Sheeran,English,Sad
696,Channa Mereya,Arijit Singh,Hindi,Happy
697,Kesariya,Sonu Nigam,Hindi,Calm
698,Kesariya,Shreya Ghoshal,Hindi,Romantic
699,Apna Time Aayega,Neha Kakkar,Hindi,Romantic
700,Seeti Maar,DSP,Telugu,Energetic
701,Channa Mereya,Arijit Singh,Hindi,Calm
702,Blinding Lights,Katy Perry,English,Energetic
703,Samajavaragamana,Anurag Kulkarni,Telugu,Romantic
704,Shape of You,The Weeknd,English,Calm
705,Roar,Taylor Swift,English,Romantic
706,Seeti Maar,Sid Sriram,Telugu,Energetic
707,Channa Mereya,Arijit Singh,Hindi,Calm
708,Kesariya,Arijit Singh,Hindi,Calm
709,Apna Time Aayega,Arijit Singh,Hindi,Sad
710,Srivalli,DSP,Telugu,Calm
711,Vachindamma,Armaan Malik,Telugu,Energetic
712,Shayad,Badshah,Hindi,Sad
713,Butta Bomma,Sid Sriram,Telugu,Calm
714,Kesariya,Neha Kakkar,Hindi,Happy
715,Perfect,Taylor Swift,English,Happy
716,Kesariya,Neha Kakkar,Hindi,Energetic
717,Perfect,Taylor Swift,English,Energetic
718,Vachindamma,Shreya Ghoshal,Telugu,Happy
719,Vachindamma,Sid Sriram,Telugu,Romantic
720,Blinding Lights,Taylor Swift,English,Sad
721,Someone Like You,Adele,English,Energetic
722,Shayad,Sonu Nigam,Hindi,Calm
723,Kesariya,Shreya Ghoshal,Hindi,Energetic
724,Shape of You,Adele,English,Energetic
725,Butta Bomma,Shreya Ghoshal,Telugu,Romantic
726,Kesariya,Sonu Nigam,Hindi,Sad
727,Butta Bomma,Armaan Malik,Telugu,Happy
728,Vachindamma,DSP,Telugu,Energetic
729,Vachindamma,DSP,Telugu,Calm
730,Kesariya,Arijit Singh,Hindi,Calm
731,Shape of You,Katy Perry,English,Calm
732,Shape of You,Adele,English,Sad
733,Apna Time Aayega,Arijit Singh,Hindi,Energetic
734,Srivalli,Anurag Kulkarni,Telugu,Sad
735,Srivalli,Sid Sriram,Telugu,Happy
736,Someone Like You,Taylor Swift,English,Happy
737,Someone Like You,Taylor Swift,English,Sad
738,Blinding Lights,Adele,English,Calm
739,Srivalli,DSP,Telugu,Sad
740,Blinding Lights,Adele,English,Sad
741,Apna Time Aayega,Arijit Singh,Hindi,Happy
742,Samajavaragamana,Sid Sriram,Telugu,Sad
743,Blinding Lights,Taylor Swift,English,Energetic
744,Channa Mereya,Sonu Nigam,Hindi,Calm
745,Apna Time Aayega,Shreya Ghoshal,Hindi,Romantic
746,Apna Time Aayega,Sonu Nigam,Hindi,Energetic
747,Channa Mereya,Sonu Nigam,Hindi,Romantic
748,Kesariya,Arijit Singh,Hindi,Energetic
749,Samajavaragamana,Shreya Ghoshal,Telugu,Sad
750,Shayad,Arijit Singh,Hindi,Happy
751,Someone Like You,Katy Perry,English,Sad
752,Kesariya,Shreya Ghoshal,Hindi,Romantic
753,Apna Time Aayega,Sonu Nigam,Hindi,Happy
754,Butta Bomma,Armaan Malik,Telugu,Romantic
755,Seeti Maar,Sid Sriram,Telugu,Happy
756,Shape of You,Taylor Swift,English,Sad
757,Roar,The Weeknd,English,Happy
758,Blinding Lights,The Weeknd,English,Sad
759,Blinding Lights,The Weeknd,English,Romantic
760,Someone Like You,Adele,English,Sad
761,Someone Like You,The Weeknd,English,Romantic
762,Shayad,Shreya Ghoshal,Hindi,Happy
763,Shape of You,Taylor Swift,English,Sad
764,Shayad,Badshah,Hindi,Calm
765,Blinding Lights,Katy Perry,English,Romantic
766,Roar,Ed Sheeran,English,Happy
767,Samajavaragamana,DSP,Telugu,Sad
768,Roar,Katy Perry,English,Romantic
769,Vachindamma,Sid Sriram,Telugu,Happy
770,Srivalli,Armaan Malik,Telugu,Calm
771,Samajavaragamana,DSP,Telugu,Sad
772,Channa Mereya,Shreya Ghoshal,Hindi,Happy
773,Blinding Lights,The Weeknd,English,Calm
774,Srivalli,Anurag Kulkarni,Telugu,Calm
775,Samajavaragamana,Armaan Malik,Telugu,Sad
776,Shayad,Arijit Singh,Hindi,Romantic
777,Roar,Adele,English,Calm
778,Blinding Lights,Ed Sheeran,English,Energetic
779,Blinding Lights,Ed Sheeran,English,Energetic
780,Perfect,Katy Perry,English,Romantic
781,Roar,Taylor Swift,English,Happy
782,Perfect,Adele,English,Sad
783,Tum Hi Ho,Badshah,Hindi,Happy
784,Someone Like You,Adele,English,Happy
785,Vachindamma,DSP,Telugu,Energetic
786,Shape of You,Taylor Swift,English,Calm
787,Shape of You,The Weeknd,English,Romantic
788,Channa Mereya,Arijit Singh,Hindi,Energetic
789,Shape of You,Katy Perry,English,Energetic
790,Srivalli,Anurag Kulkarni,Telugu,Sad
791,Butta Bomma,Anurag Kulkarni,Telugu,Romantic
792,Someone Like You,The Weeknd,English,Energetic
793,Seeti Maar,Sid Sriram,Telugu,Romantic
794,Samajavaragamana,DSP,Telugu,Calm
795,Seeti Maar,Anurag Kulkarni,Telugu,Calm
796,Apna Time Aayega,Neha Kakkar,Hindi,Calm
797,Srivalli,Anurag Kulkarni,Telugu,Sad
798,Srivalli,Shreya Ghoshal,Telugu,Romantic
799,Blinding Lights,Taylor Swift,English,Calm
800,Seeti Maar,Armaan Malik,Telugu,Happy
801,Perfect,Adele,English,Romantic
802,Srivalli,Anurag Kulkarni,Telugu,Calm
803,Srivalli,Shreya Ghoshal,Telugu,Energetic
804,Vachindamma,Shreya Ghoshal,Telugu,Romantic
805,Apna Time Aayega,Badshah,Hindi,Energetic
806,Roar,Ed Sheeran,English,Romantic
807,Perfect,Taylor Swift,English,Calm
808,Someone Like You,Taylor Swift,English,Energetic
809,Seeti Maar,Sid Sriram,Telugu,Happy
810,Butta Bomma,Sid Sriram,Telugu,Sad
811,Roar,Taylor Swift,English,Romantic
812,Channa Mereya,Sonu Nigam,Hindi,Calm
813,Apna Time Aayega,Badshah,Hindi,Energetic
814,Srivalli,DSP,Telugu,Calm
815,Samajavaragamana,Sid Sriram,Telugu,Calm
816,Tum Hi Ho,Neha Kakkar,Hindi,Romantic
817,Tum Hi Ho,Shreya Ghoshal,Hindi,Calm
818,Tum Hi Ho,Shreya Ghoshal,Hindi,Energetic
819,Roar,Taylor Swift,English,Sad
820,Perfect,Katy Perry,English,Calm
821,Shayad,Neha Kakkar,Hindi,Sad
822,Channa Mereya,Sonu Nigam,Hindi,Sad
823,Shape of You,Katy Perry,English,Happy
824,Srivalli,DSP,Telugu,Happy
825,Apna Time Aayega,Shreya Ghoshal,Hindi,Sad
826,Vachindamma,Shreya Ghoshal,Telugu,Happy
827,Srivalli,Armaan Malik,Telugu,Romantic
828,Vachindamma,Sid Sriram,Telugu,Sad
829,Tum Hi Ho,Sonu Nigam,Hindi,Romantic
830,Perfect,The Weeknd,English,Sad
831,Shape of You,Katy Perry,English,Calm
832,Tum Hi Ho,Arijit Singh,Hindi,Romantic
833,Shape of You,The Weeknd,English,Happy
834,Channa Mereya,Sonu Nigam,Hindi,Calm
835,Srivalli,Anurag Kulkarni,Telugu,Calm
836,Kesariya,Sonu Nigam,Hindi,Romantic
837,Samajavaragamana,DSP,Telugu,Romantic
838,Someone Like You,Ed Sheeran,English,Calm
839,Seeti Maar,Armaan Malik,Telugu,Happy
840,Vachindamma,Sid Sriram,Telugu,Calm
841,Samajavaragamana,Anurag Kulkarni,Telugu,Energetic
842,Blinding Lights,Taylor Swift,English,Sad
843,Perfect,The Weeknd,English,Happy
844,Tum Hi Ho,Shreya Ghoshal,Hindi,Romantic
845,Seeti Maar,Anurag Kulkarni,Telugu,Romantic
846,Srivalli,Shreya Ghoshal,Telugu,Calm
847,Channa Mereya,Badshah,Hindi,Sad
848,Apna Time Aayega,Shreya Ghoshal,Hindi,Energetic
849,Vachindamma,Armaan Malik,Telugu,Calm
850,Seeti Maar,Shreya Ghoshal,Telugu,Sad
851,Shape of You,Katy Perry,English,Calm
852,Blinding Lights,Katy Perry,English,Energetic
853,Channa Mereya,Badshah,Hindi,Romantic
854,Tum Hi Ho,Arijit Singh,Hindi,Romantic
855,Seeti Maar,Armaan Malik,Telugu,Romantic
856,Blinding Lights,Adele,English,Sad
857,Srivalli,Anurag Kulkarni,Telugu,Energetic
858,Shape of You,Ed Sheeran,English,Energetic
859,Samajavaragamana,DSP,Telugu,Calm
860,Blinding Lights,Taylor Swift,English,Happy
861,Someone Like You,Adele,English,Romantic
862,Apna Time Aayega,Shreya Ghoshal,Hindi,Happy
863,Apna Time Aayega,Arijit Singh,Hindi,Calm
864,Tum Hi Ho,Sonu Nigam,Hindi,Sad
865,Perfect,Katy Perry,English,Romantic
866,Blinding Lights,Taylor Swift,English,Sad
867,Vachindamma,Armaan Malik,Telugu,Energetic
868,Tum Hi Ho,Neha Kakkar,Hindi,Happy
869,Someone Like You,Adele,English,Energetic
870,Perfect,Katy Perry,English,Romantic
871,Channa Mereya,Sonu Nigam,Hindi,Happy
872,Perfect,The Weeknd,English,Energetic
873,Perfect,Taylor Swift,English,Happy
874,Tum Hi Ho,Neha Kakkar,Hindi,Happy
875,Shayad,Badshah,Hindi,Happy
876,Tum Hi Ho,Sonu Nigam,Hindi,Romantic
877,Srivalli,Shreya Ghoshal,Telugu,Romantic
878,Samajavaragamana,Sid Sriram,Telugu,Energetic
879,Shape of You,Katy Perry,English,Happy
880,Vachindamma,Sid Sriram,Telugu,Sad
881,Someone Like You,The Weeknd,English,Happy
882,Vachindamma,Armaan Malik,Telugu,Sad
883,Perfect,Ed Sheeran,English,Happy
884,Shape of You,The Weeknd,English,Happy
885,Shayad,Neha Kakkar,Hindi,Calm
886,Blinding Lights,The Weeknd,English,Calm
887,Samajavaragamana,Anurag Kulkarni,Telugu,Happy
888,Tum Hi Ho,Badshah,Hindi,Energetic
889,Srivalli,Anurag Kulkarni,Telugu,Energetic
890,Someone Like You,Katy Perry,English,Sad
891,Someone Like You,The Weeknd,English,Calm
892,Someone Like You,Ed Sheeran,English,Sad
893,Blinding Lights,Ed Sheeran,English,Calm
894,Roar,The Weeknd,English,Energetic
895,Blinding Lights,Ed Sheeran,English,Energetic
896,Blinding Lights,The Weeknd,English,Energetic
897,Seeti Maar,Armaan Malik,Telugu,Calm
898,Seeti Maar,Armaan Malik,Telugu,Energetic
899,Srivalli,Shreya Ghoshal,Telugu,Calm
900,Samajavaragamana,DSP,Telugu,Calm
901,Perfect,Taylor Swift,English,Energetic
902,Roar,Ed Sheeran,English,Happy
903,Shayad,Shreya Ghoshal,Hindi,Romantic
904,Kesariya,Sonu Nigam,Hindi,Calm
905,Perfect,Katy Perry,English,Happy
906,Shayad,Badshah,Hindi,Happy
907,Kesariya,Shreya Ghoshal,Hindi,Sad
908,Apna Time Aayega,Shreya Ghoshal,Hindi,Happy
909,Butta Bomma,Armaan Malik,Telugu,Calm
910,Srivalli,DSP,Telugu,Romantic
911,Blinding Lights,The Weeknd,English,Calm
912,Blinding Lights,The Weeknd,English,Energetic
913,Butta Bomma,Shreya Ghoshal,Telugu,Romantic
914,Vachindamma,DSP,Telugu,Happy
915,Channa Mereya,Sonu Nigam,Hindi,Energetic
916,Apna Time Aayega,Badshah,Hindi,Happy
917,Apna Time Aayega,Neha Kakkar,Hindi,Sad
918,Apna Time Aayega,Arijit Singh,Hindi,Happy
919,Seeti Maar,Shreya Ghoshal,Telugu,Energetic
920,Tum Hi Ho,Sonu Nigam,Hindi,Sad
921,Seeti Maar,Anurag Kulkarni,Telugu,Calm
922,Blinding Lights,Taylor Swift,English,Romantic
923,Shayad,Badshah,Hindi,Energetic
924,Someone Like You,Katy Perry,English,Calm
925,Roar,Katy Perry,English,Romantic
926,Shape of You,Taylor Swift,English,Energetic
927,Samajavaragamana,Shreya Ghoshal,Telugu,Energetic
928,Butta Bomma,Shreya Ghoshal,Telugu,Calm
929,Tum Hi Ho,Arijit Singh,Hindi,Romantic
930,Shape of You,Ed Sheeran,English,Energetic
931,Butta Bomma,Shreya Ghoshal,Telugu,Happy
932,Tum Hi Ho,Sonu Nigam,Hindi,Romantic
933,Blinding Lights,The Weeknd,English,Sad
934,Vachindamma,Armaan Malik,Telugu,Energetic
935,Perfect,Adele,English,Calm
936,Tum Hi Ho,Neha Kakkar,Hindi,Romantic
937,Roar,Ed Sheeran,English,Romantic
938,Vachindamma,Armaan Malik,Telugu,Sad
939,Perfect,The Weeknd,English,Happy
940,Kesariya,Neha Kakkar,Hindi,Romantic
941,Vachindamma,Anurag Kulkarni,Telugu,Energetic
942,Apna Time Aayega,Neha Kakkar,Hindi,Calm
943,Srivalli,Shreya Ghoshal,Telugu,Romantic
944,Roar,Ed Sheeran,English,Romantic
945,Kesariya,Neha Kakkar,Hindi,Energetic
946,Apna Time Aayega,Arijit Singh,Hindi,Energetic
947,Roar,Adele,English,Sad
948,Someone Like You,Taylor Swift,English,Happy
949,Blinding Lights,Ed Sheeran,English,Calm
950,Tum Hi Ho,Badshah,Hindi,Calm
951,Vachindamma,Armaan Malik,Telugu,Romantic
952,Samajavaragamana,Anurag Kulkarni,Telugu,Romantic
953,Tum Hi Ho,Badshah,Hindi,Happy
954,Roar,Ed Sheeran,English,Romantic
955,Channa Mereya,Sonu Nigam,Hindi,Happy
956,Tum Hi Ho,Sonu Nigam,Hindi,Energetic
957,Kesariya,Neha Kakkar,Hindi,Energetic
958,Tum Hi Ho,Badshah,Hindi,Happy
959,Vachindamma,DSP,Telugu,Sad
960,Apna Time Aayega,Badshah,Hindi,Energetic
961,Srivalli,Sid Sriram,Telugu,Calm
962,Seeti Maar,Sid Sriram,Telugu,Romantic
963,Someone Like You,The Weeknd,English,Sad
964,Blinding Lights,Ed Sheeran,English,Energetic
965,Kesariya,Badshah,Hindi,Romantic
966,Blinding Lights,Katy Perry,English,Romantic
967,Srivalli,DSP,Telugu,Happy
968,Vachindamma,Sid Sriram,Telugu,Romantic
969,Kesariya,Arijit Singh,Hindi,Calm
970,Shape of You,The Weeknd,English,Sad
971,Someone Like You,The Weeknd,English,Energetic
972,Someone Like You,The Weeknd,English,Romantic
973,Shayad,Sonu Nigam,Hindi,Romantic
974,Tum Hi Ho,Arijit Singh,Hindi,Energetic
975,Shape of You,Adele,English,Sad
976,Shayad,Neha Kakkar,Hindi,Energetic
977,Seeti Maar,DSP,Telugu,Calm
978,Samajavaragamana,Shreya Ghoshal,Telugu,Sad
979,Perfect,The Weeknd,English,Sad
980,Tum Hi Ho,Arijit Singh,Hindi,Energetic
981,Perfect,Adele,English,Calm
982,Blinding Lights,The Weeknd,English,Sad
983,Butta Bomma,Sid Sriram,Telugu,Happy
984,Shayad,Badshah,Hindi,Happy
985,Perfect,Ed Sheeran,English,Energetic
986,Seeti Maar,DSP,Telugu,Sad
987,Channa Mereya,Arijit Singh,Hindi,Romantic
988,Channa Mereya,Shreya Ghoshal,Hindi,Happy
989,Someone Like You,Taylor Swift,English,Happy
990,Seeti Maar,Sid Sriram,Telugu,Sad
991,Shayad,Arijit Singh,Hindi,Romantic
992,Blinding Lights,Taylor Swift,English,Romantic
993,Apna Time Aayega,Arijit Singh,Hindi,Romantic
994,Vachindamma,DSP,Telugu,Energetic
995,Roar,Taylor Swift,English,Happy
996,Seeti Maar,Armaan Malik,Telugu,Romantic
997,Perfect,Adele,English,Sad
998,Channa Mereya,Shreya Ghoshal,Hindi,Romantic
999,Roar,Katy Perry,English,Energetic
1000,Vachindamma,Sid Sriram,Telugu,Romantic
